"Name","Live Bytes","Live Objects"
"sun.reflect.generics.reflectiveObjects.TypeVariableImpl","4,000 B (0%)","125 (0%)"
"org.springframework.core.annotation.AnnotationTypeMapping[]","3,976 B (0%)","147 (0%)"
"org.h2.mvstore.RootReference","3,976 B (0%)","71 (0%)"
"java.util.concurrent.ConcurrentHashMap$ReservationNode","3,968 B (0%)","124 (0%)"
"org.thymeleaf.engine.Attributes","3,864 B (0%)","161 (0%)"
"java.lang.module.ModuleDescriptor","3,840 B (0%)","60 (0%)"
"org.thymeleaf.engine.HTMLElementDefinition","3,776 B (0%)","118 (0%)"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap$LIRSHashEntry","3,752 B (0%)","67 (0%)"
"com.fasterxml.jackson.databind.introspect.AnnotationMap","3,712 B (0%)","232 (0%)"
"com.sun.jmx.mbeanserver.MXBeanMapping[]","3,712 B (0%)","185 (0%)"
"jdk.internal.loader.URLClassPath$JarLoader","3,648 B (0%)","76 (0%)"
"org.springframework.util.ConcurrentReferenceHashMap","3,600 B (0%)","90 (0%)"
"java.util.zip.Inflater$InflaterZStreamRef","3,528 B (0%)","147 (0%)"
"org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets","3,528 B (0%)","147 (0%)"
"java.util.ImmutableCollections$SetN","3,528 B (0%)","147 (0%)"
"sun.nio.fs.WindowsPath","3,520 B (0%)","88 (0%)"
"java.util.logging.Logger$ConfigurationData","3,440 B (0%)","86 (0%)"
"org.h2.table.MetaTable","3,432 B (0%)","33 (0%)"
"javax.management.openmbean.OpenMBeanAttributeInfoSupport","3,392 B (0%)","53 (0%)"
"com.sun.proxy.$Proxy40","3,392 B (0%)","212 (0%)"
"java.rmi.MarshalledObject","3,392 B (0%)","106 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$SetCcl","3,392 B (0%)","212 (0%)"
"java.util.ArrayDeque","3,384 B (0%)","141 (0%)"
"org.springframework.beans.GenericTypeAwarePropertyDescriptor","3,360 B (0%)","35 (0%)"
"java.util.Collections$1","3,360 B (0%)","140 (0%)"
"java.security.Provider$ServiceKey","3,360 B (0%)","140 (0%)"
"jdk.internal.module.ServicesCatalog$ServiceProvider","3,312 B (0%)","138 (0%)"
"java.lang.reflect.TypeVariable[]","3,304 B (0%)","151 (0%)"
"jdk.internal.module.ModuleReferenceImpl","3,304 B (0%)","59 (0%)"
"org.springframework.expression.TypedValue","3,264 B (0%)","136 (0%)"
"org.thymeleaf.standard.processor.StandardDOMEventAttributeTagProcessor","3,264 B (0%)","68 (0%)"
"com.sun.management.internal.DiagnosticCommandArgumentInfo","3,200 B (0%)","80 (0%)"
"java.io.ByteArrayInputStream","3,200 B (0%)","100 (0%)"
"java.lang.invoke.LambdaFormEditor$Transform","3,192 B (0%)","57 (0%)"
"com.sun.beans.util.Cache$Kind$Soft","3,168 B (0%)","66 (0%)"
"jdk.internal.loader.BuiltinClassLoader$1","3,168 B (0%)","99 (0%)"
"org.thymeleaf.engine.ElementProcessorIterator","3,120 B (0%)","65 (0%)"
"sun.reflect.generics.tree.FormalTypeParameter","3,096 B (0%)","129 (0%)"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap$LIRS","3,072 B (0%)","64 (0%)"
"sun.reflect.generics.repository.MethodRepository","3,000 B (0%)","75 (0%)"
"java.util.Optional","2,976 B (0%)","186 (0%)"
"java.security.Provider$Service","2,968 B (0%)","53 (0%)"
"java.util.ResourceBundle$CacheKey","2,952 B (0%)","41 (0%)"
"java.util.concurrent.CopyOnWriteArrayList$COWIterator","2,952 B (0%)","123 (0%)"
"javax.management.MBeanAttributeInfo[]","2,944 B (0%)","59 (0%)"
"org.springframework.beans.factory.support.GenericBeanDefinition","2,912 B (0%)","28 (0%)"
"org.h2.value.ValueString","2,904 B (0%)","121 (0%)"
